wearable tech fashion,284,109
uber,145018,497561
cjis,47,56
machine parts,374,582
netflix,864783,2372809
tableau,13154,23892
big data,347168,575340
smart watches,5487,13424
big data ,299738,515218
siri,390745,314748
target data breach,0,1859
smart cities,22031,43974
excel power bi ,0,2
digital health,21070,58124
connected cars,3173,6767
square,2148812,2251888
smart machines,874,857
business intelligence tools,250,730
data mining,13938,17360
gett,25409,12749
paypal reader,15,14
jp morgan data breach,0,155
connected homes,2835,10519
television on demand,25,536
power bi,1684,5420
additive manufacturing,3107,6526
google now,40206,41021
home depot data breach,0,457
hbogo,1118,1303
contextually aware computing,2,1
predictive analytics,8269,18899
cortana,4136,49586
bing prediction,1,311
fitness bands,241,1751
drone shipping,0,10
artificial intelligence,18400,48883
hipaa,2690,3325
google wallet,8205,7949
wearable computers,1600,1475
ubiquitous computing,745,821
iot,74277,350003
data scientist,8423,20584
replacement limbs/organs,98,219
applepay,1,13793
mobile banking,14414,18805
ferpa,50,84
qlik,382,6266
mobile health,7929,11528